name,type,lat,lng,coord_source,confidence,serves,parking_notes,source_ref,notes
Austin Brook Trail / Forest Road 25 gate,trailhead,44.063419,-72.855194,"geocoded 2026-09-24: Austin Brook VHD line, downstream end (mouth at Rte 100) - FR 25 gate not in OSM, verify on site",low,Austin Brook,USFS gate at the start of unplowed FR 25; roadside parking. Find the gate off Rte 100 south of Warren — verify on the USFS page.,https://www.fs.usda.gov/recarea/gmfl/recreation/recarea/?recid=83040&actid=91,The trail follows FR 25 about 2 miles up along Austin Brook through mixed forest.
Warren Falls lot (3919 Rte 100),river_access,44.0954381,-72.8643208,GP,high,Mad River,Lot plus roadside spaces; fills on hot afternoons. Short Warren Falls Trail from 3916 Rte 100.,Google Places,Upstream of the falls toward Granville the Mad is small pocket water and mostly wild brookies.
Warren village - covered bridge / Main St,river_access,44.111141,-72.857004,"geocoded 2026-09-24: Nominatim OSM way/1020925958: Warren Covered Bridge, Covered Bridge Road, Warren, Washington County, Vermont, ",low,Mad River;Bradley Brook,Street parking in the village; Warren Store.,general knowledge,"Geocode 'Warren Covered Bridge, Warren VT'. Village pools on the Mad; the Bradley Brook B1 point is about 1 km northwest."
"Riverside Park (Warren, Rte 100)",river_access,44.1360303,-72.8465331,GP,high,Mad River,Small lot; a Google review says parking is paid. Swimming hole with a tire swing.,Google Places; https://westhillbb.com/blog/2025/09/mad-river-path-in-warren-vt/,Start of the Kingsbury Greenway (1.3 mi along the Mad to the Sugarbush snowmaking pond).
Kingsbury Greenway - Wabanaki Conservation Area parking (500 Rte 100),river_access,44.1410747,-72.8458803,GP,high,Mad River,"Flat, easy lot right off Rte 100; open 24h.",Google Places; https://madrivervalley.com/trails/,Other end of the Kingsbury Greenway; flat short path with river access.
"Lareau swimming hole (Rte 100, Waitsfield)",river_access,44.1743106,-72.8323656,GP,high,Mad River,Roadside pull-off at 5919 Main St (Rte 100).,Google Places,Popular swim spot on the Mad between Warren and Waitsfield; fish early.
Waitsfield covered bridge / Bridge St (Great Eddy),river_access,44.1893683,-72.8234842,GP,high,Mad River,On-street parking in the village.,Google Places,Village reach (stocked). Bridge Street Park beach; The Silver Trout fly shop is next door.
Mad River Greenway - Meadow Rd trailhead (Waitsfield),river_access,44.2201058,-72.7892853,GP,high,Mad River,"Lot on the right just before the Meadow Rd bridge, 3.8 mi north of the Rte 100/17 junction. Don't block the business at the south end of the lot.",https://www.trailfinder.info/trails/trail/mad-river-westside-greenway ; https://madriverpath.org/maps,West Greenway: 1.2 mi out-and-back along the Mad with several river access points and a gazebo; the East Greenway continues to the Tremblay Rd lot.
Mad River Greenway - Tremblay Rd parking (Waitsfield),river_access,44.204202,-72.806929,"geocoded 2026-09-24: Nominatim OSM way/19728207 (Tremblay Rd), vertex nearest the Mad River VHD line",low,Mad River,Mad River Path Association lot on Tremblay Rd.,https://madriverpath.org/maps ; https://fpr.vermont.gov/sites/fpr/files/Recreation/Learn_More/Library/Current%20VTS%20Members.pdf,"Geocode 'Tremblay Rd, Waitsfield VT' and put the pin at the river end."
Dog River Jacuzzi Natural Area - Berlin VFD lot (2095 VT-12),river_access,44.1999177,-72.63455,GP,high,Dog River mainstem,Park in the Berlin Volunteer Fire Department lot just north of the Rte 12 bridge; look for the Dog River Park sign and walk down behind the station.,https://vermontriverconservancy.org/sites/dog-river-jacuzzi-natural-area,Vermont River Conservancy access on a premier wild-trout river; this is also the report's 572-ft temperature site. Near the reduced-harvest stretch (verify).
Roxbury Gap Rd / Warren Mountain Rd (the gap),landmark,44.109423,-72.787851,"geocoded 2026-09-24: Nominatim OSM node/205084130: Roxbury Gap, Warren, Washington County, Vermont, United States",low,Felchner Brook,Unpaved road over the Northfield Range from Brook Rd in Warren to Roxbury; pull-offs only.,general knowledge; https://roxburyvt.org/roxburyvt-attractions/,The direct route from the inn to the Dog River side (~25 min). The Felchner Brook B1 point is on the Roxbury side of the gap — verify which road it's nearest.
"Moss Glen Falls pull-off (Granville Gulf, Rte 100)",landmark,44.018022,-72.850075,"geocoded 2026-09-24: Nominatim OSM node/1951272330: Moss Glen Falls, Granville, Addison County, Vermont, 05747, United States",low,Mad River,Roadside pull-off on Rte 100 in Granville Gulf.,general knowledge,"Geocode 'Moss Glen Falls, Granville VT' (rough estimate 44.0275,-72.858). The Mad rises in the gulf; tiny headwater brookie water."
